DESIGNATION,Project_name,Department,Resource,Project_Name,Department,Access
IT_MANAGER,NotA,TECHNICAL,SERVER,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,SERVER,P2,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,DATABASE,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,DATABASE,P2,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,NETWORK_SETUP,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROGRAMMER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROGRAMMER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
SDE,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
SDE,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
SDE,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_LEADER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_LEADER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PROJECT_LEADER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_LEADER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROGRAMMER,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROGRAMMER,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
SDE,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
SDE,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
SDE,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
SDE,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
SDE,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
SDE,P5,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_LEADER,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_LEADER,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PROJECT_LEADER,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_LEADER,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P4,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
DESIGNER,P4,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
DESIGNER,P4,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
DESIGNER,P4,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROGRAMMER,P4,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROGRAMMER,P4,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
SDE,P4,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
SDE,P4,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
SDE,P4,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
SDE,P4,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
SDE,P4,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
SDE,P4,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROJECT_LEADER,P4,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_LEADER,P4,DEVELOPMENT,CLIENT_DETAIL,P1,HR,YES
PROJECT_LEADER,P4,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PROJECT_LEADER,P4,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,YES
DESIGNER,P5,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
DESIGNER,P5,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
DESIGNER,P5,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
DESIGNER,P5,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROGRAMMER,P5,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROGRAMMER,P5,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
SDE,P5,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
SDE,P5,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
SDE,P5,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
SDE,P5,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
SDE,P5,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
SDE,P5,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROJECT_LEADER,P5,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_LEADER,P5,DEVELOPMENT,CLIENT_DETAIL,P1,HR,YES
PROJECT_LEADER,P5,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PROJECT_LEADER,P5,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,YES
DESIGNER,P4,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
DESIGNER,P4,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
DESIGNER,P4,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
DESIGNER,P4,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
PROGRAMMER,P4,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
PROGRAMMER,P4,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
SDE,P4,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
SDE,P4,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
SDE,P4,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
SDE,P4,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
SDE,P4,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
SDE,P4,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
PROJECT_LEADER,P4,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
PROJECT_LEADER,P4,DEVELOPMENT,CLIENT_DETAIL,P5,HR,YES
PROJECT_LEADER,P4,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_COST,P5,FINANCE,YES
PROJECT_LEADER,P4,DEVELOPMENT,SERVER,P5,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,DATABASE,P5,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,YES
DESIGNER,P5,DEVELOPMENT,PROJECT_DETAIL,P4,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,EMP_DETAIL,P4,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,SALARY_DETAIL,P4,HR,NO
DESIGNER,P5,DEVELOPMENT,CLIENT_DETAIL,P4,HR,NO
DESIGNER,P5,DEVELOPMENT,PROJECT_COST,P4,FINANCE,NO
DESIGNER,P5,DEVELOPMENT,SERVER,P4,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,DATABASE,P4,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,NETWORK_SETUP,P4,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_DETAIL,P4,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,EMP_DETAIL,P4,DEVELOPMENT,NO
PROGRAMMER,P5,DEVELOPMENT,SALARY_DETAIL,P4,HR,NO
PROGRAMMER,P5,DEVELOPMENT,CLIENT_DETAIL,P4,HR,NO
PROGRAMMER,P5,DEVELOPMENT,PROJECT_COST,P4,FINANCE,NO
PROGRAMMER,P5,DEVELOPMENT,SERVER,P4,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,DATABASE,P4,TECHNICAL,NO
PROGRAMMER,P5,DEVELOPMENT,NETWORK_SETUP,P4,TECHNICAL,NO
SDE,P5,DEVELOPMENT,PROJECT_DETAIL,P4,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,EMP_DETAIL,P4,DEVELOPMENT,NO
SDE,P5,DEVELOPMENT,SALARY_DETAIL,P4,HR,NO
SDE,P5,DEVELOPMENT,CLIENT_DETAIL,P4,HR,NO
SDE,P5,DEVELOPMENT,PROJECT_COST,P4,FINANCE,NO
SDE,P5,DEVELOPMENT,SERVER,P4,TECHNICAL,NO
SDE,P5,DEVELOPMENT,DATABASE,P4,TECHNICAL,NO
SDE,P5,DEVELOPMENT,NETWORK_SETUP,P4,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_DETAIL,P4,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,EMP_DETAIL,P4,DEVELOPMENT,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SALARY_DETAIL,P4,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,CLIENT_DETAIL,P4,HR,NO
PROJECT_MANAGER,P5,DEVELOPMENT,PROJECT_COST,P4,FINANCE,NO
PROJECT_MANAGER,P5,DEVELOPMENT,SERVER,P4,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,DATABASE,P4,TECHNICAL,NO
PROJECT_MANAGER,P5,DEVELOPMENT,NETWORK_SETUP,P4,TECHNICAL,NO
PROJECT_LEADER,P5,DEVELOPMENT,SALARY_DETAIL,P4,HR,NO
PROJECT_LEADER,P5,DEVELOPMENT,CLIENT_DETAIL,P4,HR,YES
PROJECT_LEADER,P5,DEVELOPMENT,EMP_DETAIL,P4,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_DETAIL,P4,DEVELOPMENT,YES
PROJECT_LEADER,P5,DEVELOPMENT,PROJECT_COST,P4,FINANCE,YES
PROJECT_LEADER,P5,DEVELOPMENT,SERVER,P4,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,DATABASE,P4,TECHNICAL,YES
PROJECT_LEADER,P5,DEVELOPMENT,NETWORK_SETUP,P4,TECHNICAL,YES
DESIGNER,P1,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
DESIGNER,P1,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
DESIGNER,P1,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
DESIGNER,P1,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
DESIGNER,P1,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
DESIGNER,P1,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
DESIGNER,P1,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
DESIGNER,P1,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
PROGRAMMER,P1,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
PROGRAMMER,P1,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
PROGRAMMER,P1,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
PROGRAMMER,P1,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
PROGRAMMER,P1,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
SDE,P1,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
SDE,P1,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
SDE,P1,DEVELOPMENT,SALARY_DETAIL,P5,HR,NO
SDE,P1,DEVELOPMENT,CLIENT_DETAIL,P5,HR,NO
SDE,P1,DEVELOPMENT,PROJECT_COST,P5,FINANCE,NO
SDE,P1,DEVELOPMENT,SERVER,P5,TECHNICAL,NO
SDE,P1,DEVELOPMENT,DATABASE,P5,TECHNICAL,NO
SDE,P1,DEVELOPMENT,NETWORK_SETUP,P5,TECHNICAL,NO
PROJECT_MANAGER,P1,DEVELOPMENT,PROJECT_DETAIL,P5,DEVELOPMENT,NO
PROJECT_MANAGER,P1,DEVELOPMENT,EMP_DETAIL,P5,DEVELOPMENT,NO
